Player,Age,Tm,MP,RBS,AST,STL,BLK,TOV,PTS,FG_per,FT_perc
Bradley Beal,21,WAS,33.4,3.8,3.1,1.2,0.3,2,15.3,0.427,0.783
Manu Ginobili,37,SAS,22.7,3,4.2,1,0.3,2.2,10.5,0.426,0.721
J.R. Smith,29,TOT,29.7,3.1,2.8,1.2,0.3,1.4,12.1,0.417,0.75
Chris Andersen,36,MIA,18.9,5,0.7,0.4,1,0.7,5.3,0.58,0.667
Trevor Booker,27,UTA,19.8,5,1.1,0.5,0.5,1.1,7.2,0.487,0.581
Chris Bosh,30,MIA,35.4,7,2.2,0.9,0.6,2.2,21.1,0.46,0.772
Wilson Chandler,27,DEN,31.7,6.1,1.7,0.7,0.4,1.4,13.9,0.429,0.775
Jamal Crawford,34,LAC,26.6,1.9,2.5,0.9,0.2,1.4,15.8,0.396,0.901
Boris Diaw,32,SAS,24.5,4.3,2.9,0.4,0.3,1.6,8.7,0.46,0.774
Monta Ellis,29,DAL,33.7,2.4,4.1,1.9,0.3,2.5,18.9,0.445,0.752
Gerald Henderson,27,CHO,28.9,3.4,2.6,0.6,0.3,1.4,12.1,0.437,0.848
John Henson,24,MIL,18.3,4.7,0.9,0.4,2,1.3,7,0.566,0.569
Dwight Howard,29,HOU,29.8,10.5,1.2,0.7,1.3,2.8,15.8,0.593,0.528
C.J. Miles,27,IND,26.3,3.1,1.1,0.9,0.4,1,13.5,0.398,0.807
Kelly Olynyk,23,BOS,22.2,4.7,1.7,1,0.6,1.5,10.3,0.475,0.684
Amar'e Stoudemire,32,TOT,21.1,5.6,0.8,0.5,0.6,1.3,11.5,0.557,0.72
Jason Terry,37,HOU,21.3,1.6,1.9,0.9,0.2,1,7,0.422,0.813
Beno Udrih,32,MEM,18.9,1.8,2.8,0.6,0.1,1.1,7.7,0.487,0.853
Deron Williams,30,BRK,31.1,3.5,6.6,0.9,0.3,2.3,13,0.387,0.834
Ryan Anderson,26,NOP,27.5,4.8,0.9,0.5,0.3,1,13.7,0.399,0.854
Patrick Beverley,26,HOU,30.8,4.2,3.4,1.1,0.4,1.5,10.1,0.383,0.75
Solomon Hill,23,IND,29,3.8,2.2,0.8,0.2,1.4,8.9,0.396,0.824
Jonas Jerebko,27,TOT,16.4,3.8,0.9,0.6,0.2,0.6,6,0.446,0.848
Victor Oladipo,22,ORL,35.7,4.2,4.1,1.7,0.3,2.8,17.9,0.436,0.819
Dwyane Wade,33,MIA,31.8,3.5,4.8,1.2,0.3,3.4,21.5,0.47,0.768
D.J. Augustin,27,TOT,24,2,4.3,0.6,0,1.8,9.5,0.399,0.868
Tyler Hansbrough,29,TOR,14.3,3.6,0.3,0.4,0.2,0.3,3.6,0.521,0.698
Jrue Holiday,24,NOP,32.6,3.4,6.9,1.6,0.6,2.3,14.8,0.446,0.855
Alex Len,21,PHO,22,6.6,0.5,0.5,1.5,1.1,6.3,0.507,0.702
Al-Farouq Aminu,24,DAL,18.5,4.6,0.8,0.9,0.8,0.7,5.6,0.412,0.712
Aaron Brooks,30,CHI,23,2,3.2,0.7,0.2,1.9,11.6,0.421,0.833
Brandon Jennings,25,DET,28.6,2.5,6.6,1.1,0.1,2.2,15.4,0.401,0.839
Chris Kaman,32,POR,18.9,6.5,0.9,0.2,0.7,1.5,8.6,0.515,0.706
Kosta Koufos,25,MEM,16.6,5.3,0.5,0.4,0.8,0.9,5.2,0.508,0.647
Shaun Livingston,29,GSW,18.8,2.3,3.3,0.6,0.3,1.3,5.9,0.5,0.714
Alexis Ajinca,26,NOP,14.1,4.6,0.7,0.3,0.8,1,6.5,0.55,0.818
David Lee,31,GSW,18.4,5.2,1.7,0.6,0.5,1,7.9,0.511,0.654
Tarik Black,23,TOT,19,5.8,0.7,0.3,0.4,0.8,6,0.575,0.551
Corey Brewer,28,TOT,26.1,3.7,2.2,1.4,0.2,1.6,11.5,0.426,0.743
Jodie Meeks,27,DET,24.4,1.7,1.3,1,0.1,1,11.1,0.416,0.906
Thaddeus Young,26,TOT,32,5.4,2.3,1.6,0.3,1.5,14.1,0.466,0.655
Nene Hilario,32,WAS,25.3,5.1,1.8,1,0.3,1.9,11,0.511,0.604
Terrence Jones,23,HOU,26.9,6.7,1.1,0.5,1.8,1.1,11.7,0.528,0.606
Carmelo Anthony,30,NYK,35.7,6.6,3.1,1,0.4,2.2,24.2,0.444,0.797
Marco Belinelli,28,SAS,22.4,2.5,1.5,0.5,0,1,9.2,0.423,0.848
Eric Gordon,26,NOP,33.1,2.6,3.8,0.8,0.2,2,13.4,0.411,0.805
Quincy Pondexter,26,TOT,23.9,2.6,1.3,0.3,0.3,0.7,7.2,0.421,0.74
Marcus Smart,20,BOS,27,3.3,3.1,1.5,0.3,1.3,7.8,0.367,0.646
Lavoy Allen,25,IND,17,5.1,1.2,0.2,0.7,0.6,5,0.472,0.702
Leandro Barbosa,32,GSW,14.9,1.4,1.5,0.6,0.1,0.7,7.1,0.474,0.784
Kentavious Caldwell-Pope,21,DET,31.5,3.1,1.3,1.1,0.2,1.1,12.7,0.401,0.696
Mario Chalmers,28,MIA,29.6,2.6,3.8,1.5,0.1,2.2,10.2,0.403,0.774
Carl Landry,31,SAC,17,3.8,0.4,0.2,0.2,0.8,7.2,0.515,0.82
Meyers Leonard,22,POR,15.4,4.5,0.6,0.2,0.3,0.7,5.9,0.51,0.938
O.J. Mayo,27,MIL,23.9,2.6,2.8,0.8,0.3,1.8,11.4,0.422,0.827
Greivis Vasquez,28,TOR,24.3,2.6,3.7,0.6,0.1,1.5,9.5,0.408,0.758
Alan Anderson,32,BRK,23.6,2.8,1.1,0.8,0.1,0.8,7.4,0.443,0.812
J.J. Barea,30,DAL,17.7,1.7,3.4,0.4,0,0.9,7.5,0.42,0.809
Omri Casspi,26,SAC,21.1,3.9,1.5,0.5,0.1,1.3,8.9,0.489,0.733
Jeremy Lin,26,LAL,25.8,2.6,4.6,1.1,0.4,2.2,11.2,0.424,0.795
Otto Porter,21,WAS,19.4,3,0.9,0.6,0.4,0.7,6,0.45,0.734
Mike Scott,26,ATL,16.5,2.9,1.1,0.4,0,0.6,7.8,0.444,0.792
Anthony Tolliver,29,TOT,18.8,3.1,0.8,0.3,0.2,0.7,6.3,0.41,0.783
Arron Afflalo,29,TOT,32.1,3.2,1.7,0.5,0.1,1.5,13.3,0.424,0.843
Rasual Butler,35,WAS,20.1,2.6,0.8,0.4,0.3,0.6,7.7,0.422,0.791
Jarrett Jack,31,BRK,28,3.1,4.7,0.9,0.2,2.4,12,0.439,0.881
Miles Plumlee,26,TOT,16.4,4.4,0.5,0.6,0.9,0.7,4,0.535,0.478
Hollis Thompson,23,PHI,25,2.8,1.2,0.8,0.4,0.9,8.8,0.413,0.708
Avery Bradley,24,BOS,31.5,3.1,1.8,1.1,0.2,1.4,13.9,0.429,0.79
Ben McLemore,21,SAC,32.6,2.9,1.7,0.9,0.2,1.7,12.1,0.437,0.813
Tayshaun Prince,34,TOT,24.1,3.6,1.6,0.5,0.3,0.6,7.5,0.44,0.754
Dennis Schroder,21,ATL,19.7,2.1,4.1,0.6,0.1,1.9,10,0.427,0.827
Thabo Sefolosha,30,ATL,18.8,4.3,1.4,1,0.4,0.7,5.3,0.418,0.776
Evan Turner,26,BOS,27.6,5.1,5.5,1,0.2,2.4,9.5,0.429,0.752
Jerryd Bayless,26,MIL,22.3,2.7,3,0.8,0.2,1.7,7.8,0.426,0.883
Bojan Bogdanovic,25,BRK,23.8,2.7,0.9,0.4,0.1,1,9,0.453,0.821
Trey Burke,22,UTA,30.1,2.7,4.3,0.9,0.2,1.6,12.8,0.368,0.752
Caron Butler,34,DET,20.8,2.5,1,0.6,0.1,0.6,5.9,0.407,0.902
Jordan Clarkson,22,LAL,25,3.2,3.5,0.9,0.2,1.6,11.9,0.448,0.829
Terrence Ross,23,TOR,25.5,2.8,1,0.6,0.3,0.8,9.8,0.41,0.786
Tony Snell,23,CHI,19.6,2.4,0.9,0.4,0.2,0.7,6,0.429,0.8
Jason Thompson,28,SAC,24.6,6.5,1,0.4,0.7,1,6.1,0.47,0.622
Richard Jefferson,34,DAL,16.8,2.5,0.8,0.4,0.1,0.7,5.8,0.444,0.684
Elfrid Payton,20,ORL,30.4,4.3,6.5,1.7,0.2,2.5,8.9,0.425,0.551
Pablo Prigioni,37,TOT,17.9,1.8,2.6,1.2,0,0.9,4.1,0.399,0.854
Josh Smith,29,TOT,27.7,6.4,3.3,1,1.4,2.5,12.4,0.419,0.498
Cole Aldrich,26,NYK,16,5.5,1.2,0.6,1.1,1,5.5,0.478,0.781
Carlos Boozer,33,LAL,23.8,6.8,1.3,0.6,0.2,1.3,11.8,0.499,0.627
Nick Collison,34,OKC,16.7,3.8,1.4,0.5,0.4,0.7,4.1,0.419,0.692
Jordan Hill,27,LAL,26.8,7.9,1.5,0.5,0.7,1.5,12,0.459,0.738
Rodney Hood,22,UTA,21.3,2.3,1.7,0.6,0.2,0.9,8.7,0.414,0.763
Joe Ingles,27,UTA,21.2,2.2,2.3,0.9,0.1,1.2,5,0.415,0.75
Andre Miller,38,TOT,15.5,1.9,3.5,0.4,0.1,1.3,4.4,0.5,0.753
Alexey Shved,26,TOT,18.3,2.4,2.5,0.7,0.1,1.1,10.3,0.397,0.807
Steve Blake,34,POR,18.9,1.7,3.6,0.5,0.1,1.3,4.3,0.373,0.707
Matt Bonner,34,SAS,13,1.6,0.7,0.1,0.2,0.2,3.7,0.409,0.811
Evan Fournier,22,ORL,28.6,2.6,2.1,0.7,0,1.4,12,0.44,0.728
Channing Frye,31,ORL,24.9,3.9,1.3,0.6,0.5,1,7.3,0.392,0.886
Ian Mahinmi,28,IND,18.8,5.8,0.5,0.5,0.8,1,4.3,0.552,0.304
Andre Roberson,23,OKC,19.2,3.8,1,0.8,0.4,0.7,3.4,0.458,0.479
Henry Sims,24,PHI,19.2,4.9,1.1,0.5,0.4,1.4,8,0.474,0.774
Andrew Wiggins,19,MIN,36.2,4.6,2.1,1,0.6,2.2,16.9,0.437,0.76
Derrick Williams,23,SAC,19.8,2.7,0.7,0.5,0.1,0.8,8.3,0.447,0.684
Mo Williams,32,TOT,29.1,2.6,6.2,0.7,0.2,2.5,14.2,0.397,0.872
Shabazz Muhammad,22,MIN,22.8,4.1,1.2,0.5,0.2,0.9,13.5,0.489,0.717
Kyle Singler,26,TOT,21.8,2.4,1.1,0.6,0.3,0.7,6,0.386,0.769
Donald Sloan,27,IND,20.9,2.7,3.6,0.4,0,1.2,7.4,0.408,0.779
Matthew Dellavedova,24,CLE,20.6,1.9,3,0.4,0,0.9,4.8,0.362,0.763
Joey Dorsey,31,HOU,12.4,4,0.4,0.6,0.4,0.6,2.7,0.552,0.289
James Ennis,24,MIA,17,2.8,0.8,0.4,0.3,0.6,5,0.409,0.84
Kevin Garnett,38,TOT,20.3,6.6,1.6,1,0.4,1,6.9,0.467,0.8
Gerald Green,29,PHO,19.5,2.5,1.2,0.6,0.2,1.4,11.9,0.416,0.825
Kevin Martin,31,MIN,33.4,3.6,2.3,0.8,0,1.9,20,0.427,0.881
Mike Muscala,23,ATL,12.6,3,0.6,0.4,0.5,0.5,4.9,0.55,0.88
Anderson Varejao,32,CLE,24.5,6.5,1.3,0.7,0.6,1.3,9.8,0.555,0.733
Shawne Williams,28,TOT,17.3,2.6,0.7,0.4,0.3,0.5,5.4,0.403,0.875
J.J. Hickson,26,DEN,19.3,6.2,0.8,0.5,0.5,1.3,7.6,0.475,0.577
C.J. McCollum,23,POR,15.7,1.5,1,0.7,0.1,0.8,6.8,0.436,0.699
Brian Roberts,29,CHO,18.5,1.5,2.3,0.5,0.1,0.8,6.7,0.389,0.892
Quincy Acy,24,NYK,18.9,4.4,1,0.4,0.3,0.9,5.9,0.459,0.784
Alec Burks,23,UTA,33.3,4.2,3,0.6,0.2,1.9,13.9,0.403,0.822
Dewayne Dedmon,25,ORL,14.3,5,0.2,0.3,0.8,0.9,3.7,0.562,0.531
Festus Ezeli,25,GSW,11,3.4,0.2,0.2,0.9,0.7,4.4,0.547,0.628
Drew Gooden,33,WAS,16.9,4.4,1,0.4,0.2,0.5,5.4,0.399,0.773
Wesley Johnson,27,LAL,29.5,4.2,1.6,0.8,0.6,1.1,9.9,0.414,0.804
Shane Larkin,22,NYK,24.5,2.3,3,1.2,0.1,1.1,6.2,0.433,0.782
Shawn Marion,36,CLE,19.3,3.5,0.9,0.5,0.5,0.6,4.8,0.446,0.765
Kevin Seraphin,25,WAS,15.6,3.6,0.7,0.1,0.7,1.2,6.6,0.513,0.707
Luke Babbitt,25,NOP,13.2,1.8,0.4,0.3,0.2,0.4,4.1,0.479,0.684
Kent Bazemore,25,ATL,17.7,3,1,0.7,0.4,1,5.2,0.426,0.6
Dante Cunningham,27,NOP,25,3.9,0.8,0.7,0.6,0.5,5.2,0.457,0.617
Joel Freeland,27,POR,12.9,4,0.3,0.2,0.5,0.5,3.5,0.49,0.84
Jeremy Lamb,22,OKC,13.5,2.3,0.9,0.4,0.1,0.6,6.3,0.416,0.891
Jusuf Nurkic,20,DEN,17.8,6.2,0.8,0.8,1.1,1.4,6.9,0.446,0.636
Kyle O'Quinn,24,ORL,16.2,3.9,1.2,0.6,0.8,1.1,5.8,0.492,0.772
Rajon Rondo,28,TOT,29.7,5.5,7.9,1.3,0.1,3.1,8.9,0.426,0.397
Larry Sanders,26,MIL,21.7,6.1,0.9,1,1.4,1,7.3,0.5,0.5
Dorell Wright,29,POR,12.3,2.3,0.9,0.4,0.2,0.4,4.6,0.379,0.81
Pero Antic,32,ATL,16.5,3,0.8,0.3,0.2,0.8,5.7,0.365,0.715
Justin Hamilton,24,TOT,17.4,3.3,0.9,0.7,0.7,0.6,5.3,0.478,0.83
James Jones,34,CLE,11.7,1.1,0.4,0.2,0.1,0.2,4.4,0.368,0.848
Austin Rivers,22,TOT,20.6,2,2,0.6,0.2,0.9,7,0.409,0.675
Thomas Robinson,23,TOT,14.8,5.6,0.6,0.6,0.4,1.1,5.7,0.485,0.528
Iman Shumpert,24,TOT,24.9,3.6,2.2,1.3,0.3,1.5,8,0.41,0.672
Garrett Temple,28,WAS,14.1,1.7,1.1,0.8,0.2,0.7,3.9,0.4,0.729
Furkan Aldemir,23,PHI,13.2,4.3,0.7,0.4,0.4,0.4,2.3,0.513,0.481
Isaiah Canaan,23,TOT,20,1.9,2.1,0.6,0.1,1.3,9.2,0.386,0.817
Norris Cole,26,TOT,24.4,2.1,3.4,0.8,0.2,1.3,7.6,0.412,0.716
Glen Davis,29,LAC,12.2,2.3,0.5,0.6,0.3,0.5,4,0.459,0.632
Udonis Haslem,34,MIA,16,4.2,0.7,0.3,0.2,0.7,4.2,0.448,0.703
Jason Maxiell,31,CHO,14.4,3.3,0.3,0.3,0.7,0.5,3.3,0.422,0.577
Ray McCallum,23,SAC,21.1,2.6,2.8,0.7,0.2,1.3,7.4,0.438,0.679
Patrick Mills,26,SAS,15.7,1.5,1.7,0.5,0,0.7,6.9,0.381,0.825
Jameer Nelson,32,TOT,22.3,2.3,4,0.7,0.1,1.7,8.3,0.407,0.667
Charlie Villanueva,30,DAL,10.6,2.3,0.3,0.2,0.3,0.4,6.3,0.414,0.571
Will Barton,24,TOT,16.9,2.8,1.4,0.8,0.3,1.1,6.8,0.425,0.787
Chase Budinger,26,MIN,19.2,3,1,0.7,0.1,0.7,6.8,0.433,0.827
Allen Crabbe,22,POR,13.4,1.4,0.8,0.4,0.3,0.3,3.3,0.412,0.75
Jeremy Evans,27,UTA,7,1.9,0.3,0.3,0.3,0.1,2.4,0.552,0.828
Langston Galloway,23,NYK,32.4,4.2,3.3,1.2,0.3,1.4,11.8,0.399,0.808
Justin Holiday,25,GSW,11.1,1.2,0.8,0.7,0.2,0.5,4.3,0.387,0.822
Jon Leuer,25,MEM,13.1,3.3,0.7,0.3,0.1,0.6,4.5,0.443,0.627
Shelvin Mack,24,ATL,15.1,1.4,2.8,0.5,0,0.9,5.4,0.401,0.806
Mitch McGary,22,OKC,15.2,5.2,0.4,0.5,0.5,1,6.3,0.533,0.625
Jabari Parker,19,MIL,29.5,5.5,1.7,1.2,0.2,1.9,12.3,0.49,0.697
Damjan Rudez,28,IND,15.4,0.7,0.8,0.2,0.1,0.7,4.8,0.452,0.696
Joel Anthony,32,DET,8.3,1.9,0.1,0.2,1,0.2,1.8,0.581,0.682
Jeff Ayres,27,SAS,7.5,2.3,0.3,0.2,0.2,0.5,2.7,0.579,0.75
Wayne Ellington,27,LAL,25.8,3.2,1.6,0.5,0,0.8,10,0.412,0.813
Reggie Evans,34,SAC,16.3,6.4,0.7,0.5,0.1,1,3.7,0.423,0.619
Alonzo Gee,27,TOT,12.3,1.7,0.5,0.6,0.1,0.6,4.5,0.468,0.701
Spencer Hawes,26,LAC,17.5,3.5,1.2,0.3,0.7,0.8,5.8,0.393,0.647
Jerome Jordan,28,BRK,8.7,2.4,0.3,0.2,0.3,0.5,3.1,0.532,0.864
Nikola Pekovic,29,MIN,26.3,7.5,0.9,0.6,0.4,1.4,12.5,0.424,0.837
Derrick Rose,26,CHI,30,3.2,4.9,0.7,0.3,3.2,17.7,0.405,0.813
Jason Smith,28,NYK,21.8,4,1.7,0.4,0.5,1.3,8,0.434,0.83
Marcus Thornton,27,TOT,15,1.8,0.8,0.6,0.1,0.6,7.9,0.406,0.821
Hedo Turkoglu,35,LAC,11.4,1.6,0.6,0.3,0.1,0.5,3.7,0.441,0.545
Nick Young,29,LAL,23.8,2.3,1,0.5,0.3,1,13.4,0.366,0.892
Nick Calathes,25,MEM,14.4,1.8,2.5,1.1,0.1,1.1,4.2,0.421,0.533
Luc Mbah a Moute,28,PHI,28.6,4.9,1.6,1.2,0.3,1.5,9.9,0.395,0.589
Ramon Sessions,28,TOT,18.6,2.3,2.8,0.5,0,1.3,6.3,0.374,0.769
Dion Waiters,23,TOT,27.6,2.4,2,1.1,0.3,1.4,11.8,0.396,0.68
T.J. Warren,21,PHO,15.4,2.1,0.6,0.5,0.2,0.7,6.1,0.528,0.737
Vince Carter,38,MEM,16.5,2,1.2,0.7,0.2,0.7,5.8,0.333,0.789
Randy Foye,31,DEN,21.7,1.7,2.4,0.7,0.2,1.2,8.7,0.368,0.818
Aaron Gordon,19,ORL,17,3.6,0.7,0.4,0.5,0.8,5.2,0.447,0.721
Kirk Hinrich,34,CHI,24.4,1.8,2.2,0.7,0.2,1.1,5.7,0.373,0.7
Ryan Hollins,30,SAC,9.6,2.2,0.3,0.1,0.4,0.5,3,0.646,0.574
Darrell Arthur,26,DEN,17,2.9,1,0.8,0.4,0.8,6.6,0.404,0.78
Andrea Bargnani,29,NYK,27.1,4.4,1.6,0.1,0.9,1.4,14.8,0.454,0.813
Jose Calderon,33,NYK,30.2,3,4.7,0.7,0,1.8,9.1,0.415,0.906
John Jenkins,23,ATL,12.4,1.6,0.5,0.4,0,0.3,5.6,0.495,0.842
Michael Carter-Williams,23,TOT,32.6,5.3,6.7,1.7,0.5,3.8,14.6,0.396,0.694
Tim Hardaway,22,NYK,24,2.2,1.8,0.3,0.2,1.2,11.5,0.389,0.801
Robbie Hummel,25,MIN,16.5,3,0.6,0.4,0.2,0.4,4.4,0.459,0.828
Cory Jefferson,24,BRK,10.6,2.9,0.3,0.2,0.4,0.4,3.7,0.449,0.574
Chris Johnson,24,TOT,18.1,1.9,0.5,0.9,0.2,0.5,5.7,0.403,0.875
Tyler Johnson,22,MIA,18.8,2.5,1.3,1,0.3,0.9,5.9,0.419,0.681
Kendall Marshall,23,MIL,14.9,1,3.1,0.8,0,1.3,4.2,0.455,0.889
E'Twaun Moore,25,CHI,9,0.8,0.6,0.4,0.1,0.3,2.7,0.446,0.6
Phil Pressey,23,BOS,12,1.6,2.3,0.6,0.1,0.8,3.5,0.368,0.673
Robert Sacre,25,LAL,16.9,3.5,0.8,0.4,0.6,0.5,4.6,0.412,0.671
Greg Smith,24,DAL,8.6,1.9,0.2,0.2,0.3,0.3,1.9,0.612,0.513
Jeff Withey,24,NOP,7,1.7,0.3,0.1,0.5,0.3,2.6,0.5,0.68
Elton Brand,35,ATL,13.5,2.8,0.6,0.5,0.7,0.5,2.7,0.442,0.522
Sergey Karasev,21,BRK,16.8,2,1.4,0.7,0,0.7,4.6,0.403,0.763
Ryan Kelly,23,LAL,23.7,2.8,1.8,0.6,0.5,0.7,6.4,0.337,0.832
Ronnie Price,31,LAL,22.8,1.6,3.8,1.6,0.1,1.2,5.1,0.345,0.8
Jordan Farmar,28,LAC,14.7,1.2,1.9,0.6,0.1,0.9,4.6,0.386,0.909
Danny Granger,31,MIA,20.4,2.7,0.6,0.4,0.2,0.8,6.3,0.401,0.757
K.J. McDaniels,21,TOT,21.8,3.2,1.2,0.7,1.1,1.7,7.9,0.396,0.752
Gary Neal,30,TOT,22.1,2.4,1.9,0.4,0,1.2,10.1,0.374,0.867
Dwight Powell,23,TOT,8.1,1.7,0.3,0.3,0.2,0.4,3.1,0.463,0.758
Luke Ridnour,33,ORL,14.5,1.4,2,0.4,0.1,0.8,4,0.426,0.857
JaKarr Sampson,21,PHI,15.3,2.2,1,0.5,0.4,1,5.2,0.422,0.67
Markel Brown,23,BRK,16.6,2.3,0.8,0.7,0.3,0.6,4.6,0.362,0.825
Jerami Grant,20,PHI,21.2,3,1.2,0.6,1,1.3,6.3,0.352,0.591
