Player,Age,Tm,MP,RBS,AST,STL,BLK,TOV,PTS,FG_per,FT_perc
Jordan Hamilton,24,LAC,8.7,1.1,0.5,0.1,0,0.3,2.7,0.4,
Sean Kilpatrick,25,MIN,18,1.5,1,0.8,0,0.5,5.5,0.35,1
Joffrey Lauvergne,23,DEN,11.2,3.2,0.5,0.3,0.4,0.9,3.9,0.404,0.643
Nazr Mohammed,37,CHI,5.6,1.7,0.1,0.2,0.2,0.3,1.2,0.433,0.333
Andrew Nicholson,25,ORL,12.3,2.1,0.6,0.2,0.3,0.6,4.9,0.437,0.6
Kendrick Perkins,30,TOT,16.9,4.7,0.8,0.2,0.6,1.4,3.6,0.449,0.506
Glenn Robinson III,21,TOT,7.5,1.1,0.3,0.2,0,0.3,2.1,0.388,0.667
John Salmons,35,NOP,12.9,1,0.6,0.4,0.2,0.2,2,0.333,0.5
Greg Stiemsma,29,TOR,3.9,0.9,0.2,0.1,0,0.4,0.8,0.75,0.5
Malcolm Thomas,26,PHI,11.4,3.3,0.4,0.2,0.1,0.8,2.6,0.45,0.692
Tyrus Thomas,28,MEM,3.5,0,0.5,0,0,0,2,1,1
Gerald Wallace,32,BOS,8.9,1.8,0.3,0.5,0.1,0.6,1.1,0.412,0.4
Elliot Williams,25,TOT,9.2,0.6,0.9,0.3,0,0.3,2.8,0.378,0.25
Earl Barron,33,PHO,8.9,1.8,0.3,0.3,0.1,0.3,2,0.308,0.5
Jerrelle Benimon,23,UTA,1.5,1.5,0,0,0,0.5,0,,
Sim Bhullar,22,SAC,1,0.3,0.3,0,0.3,0,0.7,0.5,
Shannon Brown,29,MIA,17.8,0.2,0.6,0.8,0,0.8,4,0.368,0.75
Clint Capela,20,HOU,7.5,3,0.2,0.1,0.8,0.4,2.7,0.483,0.174
Will Cherry,23,CLE,8.6,0.6,1,0.8,0.1,0.5,1.9,0.263,0.5
Jared Cunningham,23,LAC,4.7,0.5,0.5,0.2,0,0.4,1.8,0.364,0.538
Seth Curry,24,PHO,4,1,0.5,0,0,0,0,0,
Austin Daye,26,TOT,10.1,2.2,0.5,0.4,0.1,0.7,3.8,0.355,0.833
Chris Douglas-Roberts,28,LAC,8.6,1,0.3,0.1,0,0,1.6,0.238,1
Jamaal Franklin,23,DEN,4.3,0.7,1,0,0.3,1,1,0.5,
Paul George,24,IND,15.2,3.7,1,0.8,0.2,2,8.8,0.367,0.727
Erick Green,23,DEN,9.5,0.7,0.9,0.3,0,0.3,3.4,0.377,0.833
Brendan Haywood,35,CLE,5.4,1.3,0.1,0.1,0.5,0.5,1.6,0.467,0.538
Dahntay Jones,34,LAC,3.7,0.3,0.1,0.1,0,0,0.6,0.286,0.818
Andrei Kirilenko,33,BRK,5.1,1.1,0.1,0.1,0,0.1,0.4,0,0.75
Alex Kirk,23,CLE,2.8,0.2,0.2,0,0,0,0.8,0.25,1
Malcolm Lee,24,PHI,2,0,0,0,0,0,0,0,
Kalin Lucas,25,MEM,6,0,0,1,0,0,0,0,
Doug McDermott,23,CHI,8.9,1.2,0.2,0.1,0,0.5,3,0.402,0.667
Eric Moreland,23,SAC,0.7,0.3,0,0,0,0,0.7,1,
Lucas Nogueira,22,TOR,3.8,1.8,0.2,0.3,0,0.3,1,0.25,0.5
Miroslav Raduljica,27,MIN,4.6,1,0,0.2,0,0.4,1.6,0.375,1
Shavlik Randolph,31,TOT,6,1.8,0.2,0.2,0.1,0.1,1.1,0.257,0.5
David Stockton,23,SAC,11,0.7,3,0.7,0,1.3,2.7,0.333,0.5
Ronny Turiaf,32,MIN,9.5,0.5,1,0,0,0,0,,
David Wear,24,SAC,3.5,1,0.5,0,0,0,0,0,
Martell Webster,28,WAS,11,1.4,0.5,0.2,0,0.7,3.3,0.264,0.75
C.J. Wilcox,24,LAC,4.8,0.3,0.4,0.1,0,0.5,2,0.421,1
Cameron Bairstow,24,CHI,3.6,0.4,0.1,0.1,0.1,0.2,0.6,0.214,0.8
Michael Beasley,26,MIA,21,3.7,1.3,0.6,0.5,1.5,8.8,0.434,0.769
Bruno Caboclo,19,TOR,2.9,0.3,0,0,0.1,0.5,1.3,0.333,
Patrick Christopher,26,UTA,7.3,1.5,0,0.3,0,0.3,1.5,0.25,
Earl Clark,27,BRK,9.3,2.3,0.3,0.3,0.4,0.6,2.7,0.367,0.25
Chris Copeland,30,IND,16.6,2.2,1,0.2,0.2,1.2,6.2,0.361,0.733
Andre Dawkins,23,MIA,5.5,0.5,0.3,0,0,0.3,0.8,0.167,
Zoran Dragic,25,TOT,4.7,0.5,0.3,0.1,0,0.3,1.8,0.367,0.6
Dante Exum,19,UTA,22.2,1.6,2.4,0.5,0.2,1.4,4.8,0.349,0.625
Tim Frazier,24,TOT,21.7,2.5,5.5,0.7,0,2.3,5.2,0.344,0.476
Drew Gordon,24,PHI,7.9,2,0.2,0.1,0,0.9,1.9,0.421,0.5
Willie Green,33,ORL,18.3,1.5,1.3,0.5,0.1,0.9,5.9,0.386,0.824
Xavier Henry,23,LAL,9.6,0.4,0.3,0.3,0,0.3,2.2,0.231,0.583
Grant Jerrett,21,TOT,6.4,1.1,0.4,0.3,0.3,0.4,2,0.269,1
Nick Johnson,22,HOU,9.4,1.4,0.4,0.3,0.1,0.7,2.6,0.347,0.68
Devyn Marble,22,ORL,13,1.9,1.1,0.6,0.1,0.6,2.3,0.318,0.313
Jerel McNeal,27,PHO,6,0.5,0.3,0.5,0.2,0.8,1.5,0.273,1
Darius Miller,24,NOP,8.6,0.2,0.4,0.2,0,0.2,0.4,0.143,
Quincy Miller,22,TOT,11.9,2,0.8,0.7,0.5,0.5,2.9,0.237,0.727
Toure' Murry,25,TOT,3.6,0.2,0.2,0.2,0,0.8,1.2,0.4,1
Julius Randle,20,LAL,14,0,0,0,0,1,2,0.333,0
Glen Rice,24,WAS,8.6,0.8,0.4,0,0,0.4,2.2,0.2,0.667
Ish Smith,26,TOT,15.1,1.8,3.3,0.7,0.1,1.4,6.1,0.39,0.596
Russ Smith,23,TOT,5.4,0.5,0.7,0.3,0,1,2.5,0.32,0.923
Vander Blue,22,LAL,37,4.5,4,1.5,0,3,11,0.3,0.4
Will Bynum,32,WAS,9.6,0.9,2.6,0.1,0.1,1.1,3.1,0.323,0.5
Francisco Garcia,33,HOU,14.3,1.2,1.1,0.6,0.4,0.7,3.2,0.27,0.25
Cartier Martin,30,DET,8.6,0.9,0.5,0.1,0,0.2,1.6,0.283,
Gal Mekel,26,NOP,10.8,0.3,3.3,0.5,0,0.5,1.5,0.15,
Nate Wolters,23,TOT,11.8,1.6,1,0.4,0.1,0.6,2,0.351,0.333
Tyler Ennis,20,TOT,12.5,1.1,2.2,0.5,0.2,1.3,3.7,0.361,0.714
Brandon Rush,29,GSW,8.2,1.2,0.4,0.2,0.4,0.3,0.9,0.204,0.455
Travis Wear,24,NYK,13.2,2.1,0.8,0.3,0.2,0.7,3.9,0.402,0.769
Larry Drew,24,PHI,18.3,1.3,3.8,0.5,0,2.1,3.8,0.345,0.667
Cleanthony Early,23,NYK,16.6,2.5,0.9,0.6,0.3,1,5.4,0.355,0.75
Darius Morris,24,BRK,7.9,0.7,1.3,0.2,0,0.6,2.2,0.34,0.444
Lance Thomas,26,TOT,24,3.1,1.1,0.6,0.1,1.2,7.1,0.412,0.727
Johnny O'Bryant,21,MIL,10.8,1.9,0.5,0.1,0.1,0.7,2.9,0.367,0.444
Adreian Payne,23,TOT,23.1,5.1,0.9,0.6,0.3,1.4,6.7,0.414,0.652
Ricky Ledo,22,TOT,14.4,2.1,1.1,0.4,0.1,1.5,5.3,0.333,0.727
Gary Harris,20,DEN,13.1,1.2,0.5,0.7,0.1,0.7,3.4,0.304,0.745
Zach LaVine,19,MIN,24.7,2.8,3.6,0.7,0.1,2.5,10.1,0.422,0.842
Lance Stephenson,24,CHO,25.8,4.5,3.9,0.6,0.1,2.1,8.2,0.376,0.627
